,tSNE_1,tSNE_2
1001701101_A1,11.4473416265728,-22.6742973168336
1001701101_A2,-11.777344959429,21.0360317473821
1001701101_A3,-0.0147880900410108,-44.0772770888077
1001701101_A4,-3.2202426495361,23.132183035098
1001701101_A5,7.47160091403817,-11.2243235880666
1001701101_A6,-6.21404618032543,23.0510054641645
1001701101_A7,11.3391616957151,-27.1373674208997
1001701101_A8,-8.97273513864775,-17.2869497232151
1001701101_A9,-34.8346470920689,17.2612845983833
1001701101_A10,-4.13645910121486,24.7684355677965
1001701101_A12,-20.5743591972561,24.6673024135353
1001701101_A13,-13.7956060424539,30.1349000777877
1001701101_A14,-34.7817066034784,40.7406054716304
1001701101_A15,-31.4595225054954,18.790242030794
1001701101_A16,-25.126687742578,9.40608525938977
1001701101_A17,-3.57770891738705,-9.84245539887634
1001701101_A18,12.1820615483576,-52.7277681853268
1001701101_B1,9.52356133394726,-45.9704633899397
1001701101_B2,11.2540812346339,-30.2874492713788
1001701101_B4,15.5463064208037,-28.0891971565415
1001701101_B5,14.7280135508386,-36.8994752412775
1001701101_B6,-2.14687492551754,-30.6233529016723
1001701101_B10,-9.59338860750463,12.3571559981409
1001701101_B11,-13.2737852119887,-7.28018520031058
1001701101_B13,-19.4516268061658,28.8953116547895
1001701101_B14,-21.9805188635909,29.1409624261792
1001701101_B16,-20.5527841923132,20.9196744431579
1001701101_B17,3.04127977915869,-43.8835530115481
1001701101_B18,7.01829359599731,-22.5349053072716
1001701101_B19,16.5775689572234,-35.1661530342206
1001701101_B20,-24.5772693717372,8.9261817298179
1001701101_B21,10.9888359890877,-24.9333795762093
1001701101_B22,-10.5595119224204,0.756474220616019
1001701101_B23,10.6778714172936,-26.4907855692539
1001701101_C1,12.3639204012928,-19.7208053344576
1001701101_C2,11.5075554802525,-39.1748842563586
1001701101_C3,15.6080435812704,-48.6987424886247
1001701101_C4,-4.60708337470106,13.7843231753121
1001701101_C5,12.6436513828683,-27.9541289067151
1001701101_C6,-13.1625175248596,20.3244031922435
1001701101_C7,-9.24852627412843,29.2745202010224
1001701101_C8,14.5769608784069,-47.0035370539368
1001701101_C13,-23.2551922627909,35.6966435083019
1001701101_C14,-10.8359066514483,26.2560690145994
1001701101_C15,-18.2444198413448,22.5648126692091
1001701101_C16,-18.7790686387692,16.3028419637801
1001701101_C17,-1.10353039249083,-8.46303744921818
1001701101_C18,-10.8044348699104,-11.7094996072995
1001701101_C19,3.64977254309698,-13.8482680045736
1001701101_C20,-15.4384846896011,-0.301519739891665
1001701101_C21,-6.60801168559918,1.17572430322858
1001701101_C22,2.70915779192433,-46.5849507502041
1001701101_C23,-6.83587887183639,0.63871970709392
1001701101_D1,-13.379840312775,4.88557603709726
1001701101_D3,11.5796377873975,-28.0142832048604
